B,G,R,Label
185,0,53,Blue
238,226,248,White
15,23,27,Black
17,18,235,Red
114,0,110,Purple
6,255,223,Yellow
0,246,246,Yellow
110,15,87,Indigo
16,14,243,Red
13,220,219,Yellow
144,14,108,Purple
0,192,0,Green
114,0,117,Purple
136,0,125,Purple
25,202,4,Green
0,243,48,Green
148,16,116,Purple
134,19,63,Indigo
0,255,221,Yellow
252,42,18,Blue
8,2,27,Black
230,244,230,White
128,7,81,Indigo
16,220,3,Green
111,0,60,Indigo
24,21,27,Black
27,122,255,Orange
226,20,15,Blue
23,6,17,Black
14,255,43,Green
227,234,233,White
148,0,136,Purple
0,255,255,Yellow
5,11,20,Black
5,2,241,Red
212,112,215,Violet
142,0,63,Indigo
14,11,234,Red
14,18,13,Black
221,97,185,Violet
253,251,238,White
26,1,3,Black
231,234,249,White
226,42,42,Blue
40,233,236,Yellow
138,19,81,Indigo
148,20,146,Purple
1,17,18,Black
238,244,252,White
244,249,229,White
127,10,73,Indigo
242,233,244,White
246,254,225,White
119,0,91,Indigo
8,19,27,Black
42,253,13,Green
241,230,244,White
34,216,221,Yellow
201,111,215,Violet
111,0,72,Indigo
255,0,19,Blue
8,13,241,Red
255,24,9,Blue
246,236,243,White
3,12,241,Red
11,13,20,Black
22,30,14,Black
8,158,239,Orange
23,255,0,Green
18,0,25,Black
228,251,252,White
0,154,247,Orange
0,236,220,Yellow
15,22,9,Black
246,238,243,White
111,14,123,Purple
243,235,230,White
5,19,238,Red
248,248,255,White
8,6,253,Red
5,248,217,Yellow
203,116,215,Violet
7,3,247,Red
123,0,146,Purple
8,210,255,Yellow
1,251,1,Green
130,0,123,Purple
246,2,11,Blue
255,249,244,White
16,17,30,Black
242,234,235,White
0,216,24,Green
228,253,255,White
1,18,3,Black
236,57,16,Blue
189,35,57,Blue
16,232,237,Yellow
221,93,216,Violet
200,89,199,Violet
0,247,253,Yellow
209,4,59,Blue
16,5,246,Red
0,255,255,Yellow
16,1,21,Black
0,8,254,Red
199,17,0,Blue
242,0,0,Blue
9,159,255,Orange
239,55,57,Blue
10,136,254,Orange
199,18,13,Blue
14,12,234,Red
3,222,9,Green
126,0,82,Indigo
3,2,255,Red
148,0,145,Purple
0,207,29,Green
1,10,255,Red
29,2,6,Black
7,126,255,Orange
196,42,2,Blue
60,204,0,Green
6,27,11,Black
242,226,231,White
127,0,136,Purple
1,148,255,Orange
255,251,249,White
3,7,18,Black
0,191,30,Green
10,3,253,Red
0,235,255,Yellow
111,12,87,Indigo
26,210,12,Green
24,255,238,Yellow
112,14,142,Purple
9,127,255,Orange
7,3,240,Red
3,231,21,Green
9,25,8,Black
24,149,255,Orange
26,8,9,Black
140,0,57,Indigo
20,20,244,Red
26,252,31,Green
235,242,237,White
18,20,241,Red
246,225,255,White
12,138,255,Orange
123,0,68,Indigo
17,16,3,Black
29,146,235,Orange
0,223,0,Green
1,12,237,Red
15,127,243,Orange
128,0,76,Indigo
12,19,246,Red
118,0,128,Purple
216,102,204,Violet
33,218,30,Green
232,93,203,Violet
150,0,68,Indigo
249,0,52,Blue
0,231,0,Green
194,23,29,Blue
0,244,255,Yellow
228,230,233,White
15,8,237,Red
0,219,243,Yellow
242,230,251,White
140,0,135,Purple
3,20,238,Red
0,250,251,Yellow
147,0,81,Indigo
13,125,255,Orange
232,82,191,Violet
0,153,255,Orange
214,0,36,Blue
41,221,19,Green
9,251,55,Green
214,106,212,Violet
29,226,255,Yellow
136,0,117,Purple
0,208,36,Green
0,242,226,Yellow
20,13,12,Black
228,244,234,White
28,213,255,Yellow
9,214,236,Yellow
18,255,246,Yellow
239,93,185,Violet
30,252,28,Green
250,47,1,Blue
0,240,212,Yellow
232,244,227,White
29,235,0,Green
212,113,180,Violet
6,11,246,Red
45,188,45,Green
0,250,0,Green
125,0,129,Purple
137,0,79,Indigo
120,15,119,Purple
251,244,230,White
11,11,239,Red
8,121,245,Orange
6,150,255,Orange
0,5,240,Red
135,0,142,Purple
111,0,115,Purple
13,182,18,Green
0,220,255,Yellow
229,232,242,White
13,5,236,Red
115,8,70,Indigo
12,11,232,Red
122,4,63,Indigo
16,216,255,Yellow
36,237,39,Green
14,18,1,Black
31,224,229,Yellow
27,122,255,Orange
12,124,252,Orange
9,232,228,Yellow
0,233,233,Yellow
6,8,250,Red
9,6,253,Red
209,0,38,Blue
0,211,226,Yellow
2,17,249,Red
237,239,228,White
235,19,0,Blue
241,237,245,White
22,8,20,Black
0,135,237,Orange
19,13,7,Black
20,13,237,Red
116,6,86,Indigo
14,3,22,Black
184,23,3,Blue
213,81,196,Violet
239,244,246,White
250,225,247,White
1,159,244,Orange
3,13,237,Red
202,104,183,Violet
11,120,242,Orange
244,248,240,White
247,230,250,White
19,12,240,Red
19,1,233,Red
149,9,83,Indigo
55,249,52,Green
235,247,244,White
115,12,63,Indigo
14,14,230,Red
149,0,78,Indigo
234,244,233,White
17,0,233,Red
244,29,22,Blue
20,25,29,Black
0,255,227,Yellow
48,209,20,Green
228,231,236,White
206,108,193,Violet
5,27,12,Black
12,20,231,Red
131,3,85,Indigo
19,3,230,Red
0,223,236,Yellow
5,18,238,Red
234,253,226,White
120,8,62,Indigo
116,1,88,Indigo
8,10,7,Black
195,5,38,Blue
2,18,4,Black
128,1,69,Indigo
20,16,235,Red
140,0,57,Indigo
0,255,244,Yellow
56,230,58,Green
253,46,42,Blue
6,219,0,Green
0,243,246,Yellow
28,235,242,Yellow
229,240,227,White
17,2,231,Red
